id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h
mutlichain-bridged-wbnb-avalanche,wbnb,Multichain Bridged WBNB (Avalanche C-Chain),32.59,0.0,76.79,36.16,32.63,-9.87489
metayield,my,MetaYield,2.97,0.0,103914.0,3.07,2.91,-3.22604
mixin,xin,Mixin,92.11,0.0,114277.0,93.17,90.61,-0.53969
neoaudit-ai,naai,NeoAudit AI,0.00303979,0.0,30.36,0.00311748,0.00297742,-2.49189
maxwell-the-spinning-cat,cat,Maxwell the spinning cat,0.00012887,0.0,241.88,0.00013297,0.00012866,-0.44415
maximus-trio,trio,Maximus TRIO,0.01044327,0.0,93.74,0.01081576,0.01012951,-2.42661
margaritis,marga,Margaritis,0.358897,0.0,352.51,0.368593,0.358752,-2.07947
flarefox,flx,FlareFox,1.021e-05,0.0,4.7,1.06e-05,1.021e-05,-2.61409
metano,metano,Metano,5.822e-05,0.0,10198.22,9.004e-05,5.82e-05,-19.50847
financial-transaction-system,fts,FINANCIAL TRANSACTION SYSTEM,0.00215703,0.0,0.01602373,0.00215709,0.00215018,0.31732
genesis-shards,gs,Genesis Shards,0.007522,0.0,15.04,,,
millennium-club,mclb,Millennium Club,0.652656,0.0,5549.78,0.681845,0.633406,-4.28095
forrealog,frog,ForRealOG,1.68e-06,0.0,3.07,,,
mai-fantom,mimatic,MAI (Fantom),0.063558,0.0,98.08,0.067651,0.057577,4.92841
metahub-finance,men,DAC Platform,0.00227751,0.0,48107.0,0.00239578,0.0021835,-1.62288
eiqt-token,eiqt,eIQT Token,8.507e-05,0.0,37.58,8.993e-05,8.508e-05,-4.82733
fido,fido,Fido,8.24e-06,0.0,170.74,,,
mazimatic,mazi,MaziMatic,0.00033425,0.0,1.34,,,
flare-finance,exfi,Experimental Finance,0.01692975,0.0,29.57,0.01750793,0.01692975,-2.7924
miu,miu,Miu,3.702e-05,0.0,37.35,3.835e-05,3.665e-05,-3.34553
flappy,flappy,Flappy,3.07888e-07,0.0,22.98,3.16976e-07,3.0164e-07,-2.73512
gather-2,gat,Gather,0.587252,0.0,105474.0,0.66815,0.572692,-5.2289
fame-protocol,fame,FAME Protocol,1.679e-05,0.0,3.36,,,
meter-governance-mapped-by-meter-io,emtrg,Meter Governance mapped by Meter.io,0.090096,0.0,79.54,0.091519,0.087138,-1.32991
memetoon,meme,MEMETOON,1.00194e-07,0.0,0.0,1.00194e-07,1.00194e-07,0.0
fomosfi,fomos,FomosFi,0.00476365,0.0,33.72,0.0050809,0.0047425,-4.35777
gastrocoin,gtc,GastroCoin,9.41e-06,0.0,0.00010783,1.095e-05,9.4e-06,-13.63587
force-2,frc,Force,0.0001901,0.0,4.18,0.00019397,0.00018617,-1.21864
forbidden-fruit-energy,ffe,Forbidden Fruit Energy,0.01488772,0.0,126.19,0.01582629,0.01485885,-4.54252
frokai,frokai,FrokAI,0.00237897,0.0,19033.57,0.00361806,0.0020007,-32.51879
gatsby-inu-new,gatsby,Gatsby Inu,5.7359e-08,0.0,8.36,5.7985e-08,5.7244e-08,-0.49774
fonsmartchain,fon,FONSmartChain,1.52,0.0,277076.0,1.62,1.36,6.01383
mceur,mceur,mcEUR,1.17,0.0,3911.61,1.19,1.16,-0.61571
fefe,fefe,Fefe,5.6411e-08,0.0,68.02,5.7616e-08,5.6285e-08,-2.05503
